ts,symbol,equity,market_open,size_usdc,mid_price,effective_price,exec_cost_bps,price_impact_pct,route,liquidity_usd
2026-09-13T08:26:06+00:00,AAPLx,AAPL,False,100,328.7422,333.9778,159.26,1.2258,HumidiFi + Whirlpool,906862.0
2026-09-13T08:26:06+00:00,AAPLx,AAPL,False,1000,328.7422,334.1783,165.36,1.2851,HumidiFi + Whirlpool,906862.0
2026-09-13T08:26:06+00:00,AAPLx,AAPL,False,10000,328.7422,334.7528,182.83,1.4545,Whirlpool + HumidiFi + Raydium CLMM,906862.0
2026-09-13T08:26:06+00:00,TSLAx,TSLA,False,100,366.0443,366.122,2.12,0.0,Flux + Raydium CLMM,1354545.0
2026-09-13T08:26:06+00:00,TSLAx,TSLA,False,1000,366.0443,366.2638,6.0,0.0,Riptide,1354545.0
2026-09-13T08:26:06+00:00,TSLAx,TSLA,False,10000,366.0443,366.2611,5.92,0.0,Quantum + Raydium CLMM + Riptide,1354545.0
2026-09-13T08:26:06+00:00,NVDAx,NVDA,False,100,216.3531,216.7654,19.06,0.0002,Riptide,1859605.0
2026-09-13T08:26:06+00:00,NVDAx,NVDA,False,1000,216.3531,216.7654,19.06,0.0002,Riptide,1859605.0
2026-09-13T08:26:06+00:00,NVDAx,NVDA,False,10000,216.3531,216.8032,20.81,0.0176,Riptide + Quay + GoonFi V2 + Whirlpool,1859605.0
2026-09-13T08:26:06+00:00,SPYx,SPY,False,100,764.8017,769.3318,59.23,0.0005,Quantum + Raydium CLMM,5013031.0
2026-09-13T08:26:06+00:00,SPYx,SPY,False,1000,764.8017,769.4849,61.23,0.0203,Raydium CLMM,5013031.0
2026-09-13T08:26:06+00:00,SPYx,SPY,False,10000,764.8017,769.5745,62.41,0.032,AlphaQ + Raydium CLMM + Byreal,5013031.0
2026-09-13T08:26:06+00:00,MSTRx,MSTR,False,100,129.4955,129.5022,0.51,0.0,Quantum + Raydium CLMM,740263.0
2026-09-13T08:26:06+00:00,MSTRx,MSTR,False,1000,129.4955,129.5097,1.1,0.0,Riptide,740263.0
2026-09-13T08:26:06+00:00,MSTRx,MSTR,False,10000,129.4955,129.5428,3.65,0.0162,Riptide + HumidiFi + Raydium CLMM,740263.0
2026-09-13T08:26:06+00:00,METAx,META,False,100,649.366,649.083,-4.36,0.0,GoonFi V2 + Raydium CLMM,247763.0
2026-09-13T08:26:06+00:00,METAx,META,False,1000,649.366,649.803,6.73,0.0,GoonFi V2 + Raydium CLMM,247763.0
2026-09-13T08:26:06+00:00,METAx,META,False,10000,649.366,651.3417,30.42,0.0539,Whirlpool + HumidiFi + Raydium CLMM,247763.0
2026-09-13T08:26:06+00:00,GOOGLx,GOOGL,False,100,339.5867,340.1284,15.95,0.0,GoonFi V2 + Meteora DLMM,331454.0
2026-09-13T08:26:06+00:00,GOOGLx,GOOGL,False,1000,339.5867,340.2571,19.74,0.0,HumidiFi + Meteora DLMM,331454.0
2026-09-13T08:26:06+00:00,GOOGLx,GOOGL,False,10000,339.5867,341.2285,48.35,0.2243,Raydium CLMM + Byreal + HumidiFi + Meteora DLMM,331454.0
2026-09-13T08:26:06+00:00,AMZNx,AMZN,False,100,255.8916,256.506,24.01,0.2193,HumidiFi + Raydium CLMM,249568.0
2026-09-13T08:26:06+00:00,AMZNx,AMZN,False,1000,255.8916,256.967,42.02,0.3983,Raydium CLMM,249568.0
2026-09-13T08:26:06+00:00,AMZNx,AMZN,False,10000,255.8916,257.0706,46.08,0.4384,Raydium CLMM + HumidiFi + Byreal,249568.0
2026-09-13T08:31:18+00:00,AAPLx,AAPL,False,100,332.9331,333.8195,26.63,0.0,Flux + Whirlpool,903505.0
2026-09-13T08:31:18+00:00,AAPLx,AAPL,False,1000,332.9331,334.0111,32.38,0.0,AlphaQ + GoonFi V2 + Whirlpool,903505.0
2026-09-13T08:31:18+00:00,AAPLx,AAPL,False,10000,332.9331,334.641,51.3,0.1648,Quantum + Whirlpool + Raydium CLMM,903505.0
2026-09-13T08:31:18+00:00,TSLAx,TSLA,False,100,365.8041,366.1831,10.36,0.1825,Riptide,1359123.0
2026-09-13T08:31:18+00:00,TSLAx,TSLA,False,1000,365.8041,366.1831,10.36,0.1825,Riptide,1359123.0
2026-09-13T08:31:18+00:00,TSLAx,TSLA,False,10000,365.8041,366.1881,10.5,0.1838,Whirlpool + Riptide + Raydium CLMM,1359123.0
2026-09-13T08:31:18+00:00,NVDAx,NVDA,False,100,216.305,216.7696,21.48,0.0,Riptide,1858974.0
2026-09-13T08:31:18+00:00,NVDAx,NVDA,False,1000,216.305,216.7696,21.48,0.0,Riptide,1858974.0
2026-09-13T08:31:18+00:00,NVDAx,NVDA,False,10000,216.305,216.8111,23.4,0.0192,Riptide,1858974.0
2026-09-13T08:31:18+00:00,SPYx,SPY,False,100,764.7855,769.3254,59.36,0.3945,GoonFi V2 + Whirlpool + Raydium CLMM,4981270.0
2026-09-13T08:31:18+00:00,SPYx,SPY,False,1000,764.7855,769.4744,61.31,0.4138,Raydium CLMM,4981270.0
2026-09-13T08:31:18+00:00,SPYx,SPY,False,10000,764.7855,769.6277,63.31,0.4336,Byreal + Raydium CLMM + GoonFi V2,4981270.0
2026-09-13T08:31:18+00:00,MSTRx,MSTR,False,100,129.2773,129.3335,4.34,0.023,Riptide,738666.0
2026-09-13T08:31:18+00:00,MSTRx,MSTR,False,1000,129.2773,129.3335,4.34,0.023,Riptide,738666.0
2026-09-13T08:31:18+00:00,MSTRx,MSTR,False,10000,129.2773,129.3776,7.75,0.0571,Quantum + HumidiFi + Raydium CLMM + Riptide,738666.0
2026-09-13T08:31:18+00:00,METAx,META,False,100,647.1623,648.7831,25.05,0.0002,GoonFi V2 + Raydium CLMM,245220.0
2026-09-13T08:31:18+00:00,METAx,META,False,1000,647.1623,649.5055,36.21,0.1114,AlphaQ + GoonFi V2 + Raydium CLMM,245220.0
2026-09-13T08:31:18+00:00,METAx,META,False,10000,647.1623,651.392,65.36,0.4007,Whirlpool + AlphaQ + GoonFi V2 + Raydium CLMM,245220.0
2026-09-13T08:31:18+00:00,GOOGLx,GOOGL,False,100,339.3427,339.9156,16.88,0.0,Flux + Meteora DLMM,332609.0
2026-09-13T08:31:18+00:00,GOOGLx,GOOGL,False,1000,339.3427,340.3869,30.77,0.0494,Deriverse + GoonFi V2 + Meteora DLMM,332609.0
2026-09-13T08:31:18+00:00,GOOGLx,GOOGL,False,10000,339.3427,341.313,58.06,0.3206,Raydium CLMM + TesseraV + Meteora DLMM + Whirlpool,332609.0
2026-09-13T08:31:18+00:00,AMZNx,AMZN,False,100,256.656,256.7046,1.9,0.0,Scorch + Whirlpool + Raydium CLMM,249027.0
2026-09-13T08:31:18+00:00,AMZNx,AMZN,False,1000,256.656,256.961,11.88,0.0983,Raydium CLMM,249027.0
2026-09-13T08:31:18+00:00,AMZNx,AMZN,False,10000,256.656,257.0632,15.87,0.1381,Raydium CLMM + HumidiFi + Byreal,249027.0
2026-09-13T08:36:28+00:00,AAPLx,AAPL,False,100,333.1934,334.0259,24.98,0.0,HumidiFi + Whirlpool,903558.0
2026-09-13T08:36:28+00:00,AAPLx,AAPL,False,1000,333.1934,334.2188,30.77,0.0,HumidiFi + Whirlpool,903558.0
2026-09-13T08:36:28+00:00,AAPLx,AAPL,False,10000,333.1934,334.6205,42.83,0.0801,Raydium CLMM + Whirlpool + HumidiFi,903558.0
2026-09-13T08:36:28+00:00,TSLAx,TSLA,False,100,366.5191,365.3691,-31.38,0.0285,Whirlpool,1354540.0
2026-09-13T08:36:28+00:00,TSLAx,TSLA,False,1000,366.5191,365.438,-29.5,0.0429,Riptide,1354540.0
2026-09-13T08:36:28+00:00,TSLAx,TSLA,False,10000,366.5191,365.4507,-29.15,0.0464,Riptide + Whirlpool + Raydium CLMM,1354540.0
2026-09-13T08:36:28+00:00,NVDAx,NVDA,False,100,216.1384,216.6212,22.34,0.0323,Riptide,1858490.0
2026-09-13T08:36:28+00:00,NVDAx,NVDA,False,1000,216.1384,216.6212,22.34,0.0323,Riptide,1858490.0
2026-09-13T08:36:28+00:00,SPYx,SPY,False,100,764.7111,769.3761,61.0,0.0175,Byreal,4716279.0
2026-09-13T08:36:28+00:00,SPYx,SPY,False,1000,764.7111,769.3898,61.18,0.0193,Raydium CLMM,4716279.0
2026-09-13T08:36:28+00:00,SPYx,SPY,False,10000,764.7111,769.4901,62.49,0.0323,Byreal + AlphaQ + Raydium CLMM,4716279.0
2026-09-13T08:36:28+00:00,MSTRx,MSTR,False,100,129.0445,129.0958,3.98,0.019,Riptide,738736.0
2026-09-13T08:36:28+00:00,MSTRx,MSTR,False,1000,129.0445,129.0785,2.64,0.0056,Riptide,738736.0
2026-09-13T08:36:28+00:00,MSTRx,MSTR,False,10000,129.0445,129.1256,6.29,0.042,Riptide,738736.0
2026-09-13T08:36:28+00:00,METAx,META,False,100,645.9534,647.9617,31.09,0.06,GoonFi V2 + Raydium CLMM,235302.0
2026-09-13T08:36:28+00:00,METAx,META,False,1000,645.9534,648.6916,42.39,0.1724,GoonFi V2 + Raydium CLMM,235302.0
2026-09-13T08:36:28+00:00,METAx,META,False,10000,645.9534,650.3112,67.46,0.4211,Raydium CLMM + Whirlpool + GoonFi V2,235302.0
2026-09-13T08:36:28+00:00,GOOGLx,GOOGL,False,100,338.6058,340.3157,50.5,0.2451,BisonFi + Meteora DLMM,331497.0
2026-09-13T08:36:28+00:00,GOOGLx,GOOGL,False,1000,338.6058,340.331,50.95,0.2496,AlphaQ + Scorch + Meteora DLMM,331497.0
2026-09-13T08:36:28+00:00,GOOGLx,GOOGL,False,10000,338.6058,341.1145,74.09,0.4787,BisonFi + Meteora DLMM + Byreal + Raydium CLMM,331497.0
2026-09-13T08:36:28+00:00,AMZNx,AMZN,False,100,255.5691,256.0342,18.2,0.1609,Flux + Raydium CLMM,245109.0
2026-09-13T08:36:28+00:00,AMZNx,AMZN,False,1000,255.5691,256.7469,46.09,0.438,Byreal,245109.0
2026-09-13T08:36:28+00:00,AMZNx,AMZN,False,10000,255.5691,256.9429,53.75,0.5139,Flux + Raydium CLMM + Byreal,245109.0
